epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1595.76,0.78454,0.48739,1.15613,0.99446,0.99121,0.99259,0.84364,0.62455,0.27866,1.07223,0.005743,0.005743,0.005743
45,1631.95,0.77552,0.48361,1.14982,0.99333,0.99038,0.99172,0.85092,0.6174,0.27419,1.06274,0.005644,0.005644,0.005644
46,1668,0.7705,0.47899,1.15078,0.99494,0.9901,0.99227,0.85061,0.61467,0.27019,1.06275,0.005545,0.005545,0.005545
47,1704.2,0.76893,0.47731,1.14461,0.9932,0.99122,0.99217,0.84802,0.60827,0.26303,1.0571,0.005446,0.005446,0.005446
48,1740.3,0.77117,0.47911,1.14934,0.99426,0.98915,0.9921,0.8437,0.62722,0.2704,1.07069,0.005347,0.005347,0.005347
49,1776.83,0.76024,0.47144,1.14523,0.99531,0.99245,0.99237,0.8432,0.62162,0.26579,1.06362,0.005248,0.005248,0.005248
50,1813.55,0.7599,0.46491,1.14055,0.99474,0.99285,0.99189,0.84494,0.61243,0.26301,1.06189,0.005149,0.005149,0.005149
51,1849.99,0.76024,0.46442,1.14428,0.99366,0.99185,0.99188,0.84793,0.6114,0.26555,1.05542,0.00505,0.00505,0.00505
52,1886.44,0.7481,0.4611,1.13669,0.99462,0.99215,0.99255,0.8545,0.60046,0.26177,1.04553,0.004951,0.004951,0.004951
53,1922.89,0.75377,0.45953,1.13711,0.9943,0.99227,0.99168,0.84915,0.60506,0.26527,1.0479,0.004852,0.004852,0.004852
54,1959.31,0.74244,0.45702,1.13167,0.99574,0.99385,0.99257,0.8565,0.6,0.26297,1.05594,0.004753,0.004753,0.004753
55,1995.87,0.74039,0.45199,1.12991,0.99599,0.99328,0.99231,0.8491,0.60561,0.26844,1.05068,0.004654,0.004654,0.004654
56,2032.35,0.73425,0.44318,1.12805,0.99567,0.99315,0.99268,0.85331,0.59991,0.25971,1.04527,0.004555,0.004555,0.004555
57,2071.13,0.73224,0.44178,1.12936,0.99576,0.99201,0.99245,0.84879,0.61752,0.25843,1.06656,0.004456,0.004456,0.004456
58,2108.88,0.72714,0.44259,1.11944,0.99564,0.99172,0.99251,0.84373,0.61462,0.26653,1.0609,0.004357,0.004357,0.004357
59,2147.03,0.71842,0.43493,1.11867,0.99523,0.99221,0.99238,0.85323,0.60221,0.25348,1.05467,0.004258,0.004258,0.004258
60,2184.67,0.7218,0.43535,1.12098,0.99466,0.99285,0.99165,0.85247,0.59428,0.24937,1.05013,0.004159,0.004159,0.004159
61,2222.25,0.71678,0.43154,1.11824,0.99501,0.99219,0.99162,0.85211,0.5934,0.25159,1.04143,0.00406,0.00406,0.00406
62,2259.97,0.71067,0.42965,1.11434,0.99473,0.99228,0.99164,0.84749,0.60698,0.25826,1.04954,0.003961,0.003961,0.003961
63,2297.98,0.71211,0.4278,1.1156,0.996,0.99385,0.99249,0.85015,0.60502,0.25367,1.04761,0.003862,0.003862,0.003862
64,2335.8,0.70422,0.42699,1.11489,0.99587,0.99377,0.99223,0.85183,0.59459,0.25187,1.03831,0.003763,0.003763,0.003763
65,2373.87,0.70066,0.42423,1.11003,0.99484,0.99285,0.99169,0.85211,0.59085,0.2518,1.03501,0.003664,0.003664,0.003664
66,2402.69,0.69958,0.41653,1.10882,0.99472,0.99285,0.99188,0.85249,0.59666,0.25483,1.037,0.003565,0.003565,0.003565
67,2431.42,0.6944,0.41678,1.10593,0.99525,0.99262,0.99169,0.85335,0.59786,0.25392,1.04127,0.003466,0.003466,0.003466
68,2459.73,0.68687,0.4136,1.09949,0.99485,0.99285,0.99177,0.85286,0.59773,0.25368,1.04419,0.003367,0.003367,0.003367
69,2487.58,0.68603,0.40698,1.09949,0.99456,0.99285,0.99184,0.85213,0.59173,0.2538,1.0389,0.003268,0.003268,0.003268
70,2515.92,0.68682,0.4095,1.10113,0.9956,0.99385,0.99256,0.85492,0.59049,0.25347,1.03472,0.003169,0.003169,0.003169
71,2544.19,0.68306,0.40987,1.10095,0.99591,0.99285,0.99255,0.8546,0.58967,0.24768,1.03501,0.00307,0.00307,0.00307
72,2572.31,0.67914,0.40195,1.09767,0.99611,0.99368,0.99239,0.85349,0.59843,0.24858,1.04135,0.002971,0.002971,0.002971
73,2601.28,0.6769,0.39364,1.09363,0.99587,0.99332,0.99259,0.85387,0.59575,0.24586,1.04091,0.002872,0.002872,0.002872
74,2629.37,0.66445,0.39708,1.08977,0.99573,0.99301,0.99251,0.85736,0.59227,0.24655,1.04022,0.002773,0.002773,0.002773
75,2657.42,0.66624,0.40013,1.09173,0.99554,0.99385,0.9925,0.85525,0.59374,0.24776,1.04102,0.002674,0.002674,0.002674
76,2685.45,0.65943,0.39296,1.08521,0.99583,0.99385,0.99239,0.85458,0.58901,0.24393,1.03785,0.002575,0.002575,0.002575
77,2714.02,0.65527,0.3832,1.08476,0.9957,0.99385,0.99259,0.85469,0.58733,0.24213,1.0364,0.002476,0.002476,0.002476
78,2742.25,0.65374,0.38246,1.08406,0.99563,0.99385,0.99265,0.85576,0.58609,0.24521,1.03342,0.002377,0.002377,0.002377
79,2770.35,0.65218,0.38281,1.08503,0.99588,0.99385,0.99243,0.85715,0.58661,0.24636,1.03229,0.002278,0.002278,0.002278
80,2798.22,0.64802,0.38749,1.07937,0.9959,0.99385,0.99236,0.85338,0.5832,0.24302,1.02962,0.002179,0.002179,0.002179
81,2826.1,0.64249,0.38174,1.07613,0.99588,0.99385,0.99238,0.85605,0.58182,0.2419,1.02984,0.00208,0.00208,0.00208
82,2855.02,0.63933,0.37939,1.07593,0.99485,0.99285,0.99184,0.85577,0.58542,0.24114,1.02996,0.001981,0.001981,0.001981
83,2883.57,0.63244,0.36914,1.06772,0.99487,0.99229,0.99187,0.85773,0.58302,0.24215,1.02826,0.001882,0.001882,0.001882
84,2913.11,0.6309,0.36888,1.06815,0.99494,0.99248,0.99193,0.85371,0.58479,0.24174,1.02931,0.001783,0.001783,0.001783
85,2942.93,0.6361,0.37297,1.07385,0.99494,0.99285,0.99192,0.85307,0.58438,0.2402,1.03048,0.001684,0.001684,0.001684
86,2973.83,0.62405,0.36251,1.06686,0.99502,0.99285,0.99195,0.85375,0.58538,0.24266,1.03,0.001585,0.001585,0.001585
87,3001.88,0.62583,0.36382,1.06541,0.99583,0.99385,0.99261,0.85689,0.58678,0.24427,1.03112,0.001486,0.001486,0.001486
88,3029.87,0.61129,0.35769,1.05759,0.99574,0.99385,0.99261,0.85642,0.58329,0.24403,1.02815,0.001387,0.001387,0.001387
89,3057.82,0.61571,0.35764,1.06045,0.99586,0.99367,0.99262,0.85691,0.58362,0.24444,1.02875,0.001288,0.001288,0.001288
90,3086.07,0.61346,0.35244,1.05881,0.9957,0.99385,0.99263,0.85707,0.58474,0.24288,1.03067,0.001189,0.001189,0.001189
91,3143.47,0.50912,0.22562,1.0373,0.9947,0.99285,0.99199,0.85612,0.58595,0.24332,1.03288,0.00109,0.00109,0.00109
92,3171.99,0.49459,0.21506,1.02601,0.99559,0.99385,0.99272,0.856,0.58614,0.23976,1.03492,0.000991,0.000991,0.000991
93,3200,0.48376,0.21234,1.01151,0.9954,0.99385,0.99278,0.85411,0.58443,0.24151,1.03469,0.000892,0.000892,0.000892
94,3227.86,0.47719,0.20783,1.01127,0.99543,0.99385,0.99275,0.85387,0.58405,0.24047,1.03649,0.000793,0.000793,0.000793
95,3255.81,0.47149,0.20427,1.00114,0.99552,0.99385,0.99271,0.85719,0.58286,0.24102,1.03671,0.000694,0.000694,0.000694
96,3283.79,0.46056,0.20067,1.00026,0.99538,0.99385,0.99272,0.85793,0.58228,0.23753,1.03753,0.000595,0.000595,0.000595
97,3311.79,0.45751,0.1983,0.99965,0.9954,0.99385,0.9928,0.85844,0.58186,0.23923,1.03858,0.000496,0.000496,0.000496
98,3339.81,0.45243,0.19635,0.99118,0.99538,0.99385,0.99291,0.85853,0.58272,0.23921,1.03995,0.000397,0.000397,0.000397
99,3367.49,0.4509,0.19393,0.99239,0.99543,0.99385,0.99295,0.85805,0.58347,0.23827,1.04082,0.000298,0.000298,0.000298
100,3394.89,0.4468,0.19232,0.98984,0.99546,0.99385,0.9929,0.85654,0.58401,0.23657,1.04172,0.000199,0.000199,0.000199
